Entity,Code,Year,TonsPerPerson
Afghanistan,AFG,2000,0.83
Afghanistan,AFG,2001,1.08
Afghanistan,AFG,2002,1.16
Afghanistan,AFG,2003,1.23
Afghanistan,AFG,2004,1.26
Afghanistan,AFG,2005,1.33
Afghanistan,AFG,2006,1.26
Afghanistan,AFG,2007,1.38
Afghanistan,AFG,2008,1.25
Afghanistan,AFG,2009,1.52
Afghanistan,AFG,2010,1.65
Albania,ALB,2000,3.38
Albania,ALB,2001,3.13
Albania,ALB,2002,3.4
Albania,ALB,2003,5.13
Albania,ALB,2004,5.75
Albania,ALB,2005,5.79
Albania,ALB,2006,7.05
Albania,ALB,2007,8.66
Albania,ALB,2008,8.33
Albania,ALB,2009,9.67
Albania,ALB,2010,8.25
Algeria,DZA,2000,2
Algeria,DZA,2001,2.13
Algeria,DZA,2002,2.19
Algeria,DZA,2003,2.33
Algeria,DZA,2004,2.44
Algeria,DZA,2005,2.39
Algeria,DZA,2006,2.37
Algeria,DZA,2007,2.48
Algeria,DZA,2008,2.57
Algeria,DZA,2009,3.24
Algeria,DZA,2010,3.1
Andorra,AND,2000,49.34
Andorra,AND,2001,44.82
Andorra,AND,2002,45.96
Andorra,AND,2003,46.05
Andorra,AND,2004,55.95
Andorra,AND,2005,0
Andorra,AND,2006,0
Andorra,AND,2007,0
Andorra,AND,2008,0
Andorra,AND,2009,0
Andorra,AND,2010,0
Angola,AGO,2000,1.69
Angola,AGO,2001,1.98
Angola,AGO,2002,1.99
Angola,AGO,2003,2.14
Angola,AGO,2004,2.05
Angola,AGO,2005,2.4
Angola,AGO,2006,2.2
Angola,AGO,2007,2.75
Angola,AGO,2008,3.12
Angola,AGO,2009,3.73
Angola,AGO,2010,3.18
Antigua and Barbuda,ATG,2000,27
Antigua and Barbuda,ATG,2001,24.25
Antigua and Barbuda,ATG,2002,25.61
Antigua and Barbuda,ATG,2003,27.47
Antigua and Barbuda,ATG,2004,27.63
Antigua and Barbuda,ATG,2005,29.64
Antigua and Barbuda,ATG,2006,32.95
Antigua and Barbuda,ATG,2007,35.49
Antigua and Barbuda,ATG,2008,26.67
Antigua and Barbuda,ATG,2009,23.58
Antigua and Barbuda,ATG,2010,22.2
Argentina,ARG,2000,13.03
Argentina,ARG,2001,12.46
Argentina,ARG,2002,8.45
Argentina,ARG,2003,9.22
Argentina,ARG,2004,9.79
Argentina,ARG,2005,10.79
Argentina,ARG,2006,10.83
Argentina,ARG,2007,11.85
Argentina,ARG,2008,11.68
Argentina,ARG,2009,10.99
Argentina,ARG,2010,12.06
Armenia,ARM,2000,2.54
Armenia,ARM,2001,2.79
Armenia,ARM,2002,2.96
Armenia,ARM,2003,3.04
Armenia,ARM,2004,3.37
Armenia,ARM,2005,3.63
Armenia,ARM,2006,3.65
Armenia,ARM,2007,4.23
Armenia,ARM,2008,4.67
Armenia,ARM,2009,4.89
Armenia,ARM,2010,4.83
Australia,AUS,2000,32.92
Australia,AUS,2001,32.69
Australia,AUS,2002,32.97
Australia,AUS,2003,36.54
Australia,AUS,2004,36.6
Australia,AUS,2005,37.81
Australia,AUS,2006,33.93
Australia,AUS,2007,41
Australia,AUS,2008,34.93
Australia,AUS,2009,39.39
Australia,AUS,2010,37.36
Australia and New Zealand,,2000,31.1
Australia and New Zealand,,2001,30.95
Australia and New Zealand,,2002,31.47
Australia and New Zealand,,2003,34.47
Australia and New Zealand,,2004,34.9
Australia and New Zealand,,2005,36.09
Australia and New Zealand,,2006,32.51
Australia and New Zealand,,2007,38.55
Australia and New Zealand,,2008,33.23
Australia and New Zealand,,2009,36.36
Australia and New Zealand,,2010,34.74
Austria,AUT,2000,27.73
Austria,AUT,2001,27.23
Austria,AUT,2002,27.98
Austria,AUT,2003,28.87
Austria,AUT,2004,30.47
Austria,AUT,2005,31.04
Austria,AUT,2006,31.28
Austria,AUT,2007,32.69
Austria,AUT,2008,31.64
Austria,AUT,2009,30.77
Austria,AUT,2010,29.81
Azerbaijan,AZE,2000,2.09
Azerbaijan,AZE,2001,2.22
Azerbaijan,AZE,2002,2.61
Azerbaijan,AZE,2003,3.04
Azerbaijan,AZE,2004,3.34
Azerbaijan,AZE,2005,3.25
Azerbaijan,AZE,2006,3.3
Azerbaijan,AZE,2007,3.54
Azerbaijan,AZE,2008,3.78
Azerbaijan,AZE,2009,4.71
Azerbaijan,AZE,2010,4.47
Bahamas,BHS,2000,34.78
Bahamas,BHS,2001,31.6
Bahamas,BHS,2002,30.06
Bahamas,BHS,2003,29.14
Bahamas,BHS,2004,27.87
Bahamas,BHS,2005,29.19
Bahamas,BHS,2006,30.48
Bahamas,BHS,2007,28
Bahamas,BHS,2008,25.82
Bahamas,BHS,2009,24.12
Bahamas,BHS,2010,23.25
Bahrain,BHR,2000,16.81
Bahrain,BHR,2001,16.11
Bahrain,BHR,2002,16.17
Bahrain,BHR,2003,15.59
Bahrain,BHR,2004,15.07
Bahrain,BHR,2005,15.18
Bahrain,BHR,2006,13.91
Bahrain,BHR,2007,13.43
Bahrain,BHR,2008,12.65
Bahrain,BHR,2009,12.43
Bahrain,BHR,2010,12.31
Bangladesh,BGD,2000,1.48
Bangladesh,BGD,2001,1.52
Bangladesh,BGD,2002,1.51
Bangladesh,BGD,2003,1.48
Bangladesh,BGD,2004,1.46
Bangladesh,BGD,2005,1.6
Bangladesh,BGD,2006,1.53
Bangladesh,BGD,2007,1.56
Bangladesh,BGD,2008,1.54
Bangladesh,BGD,2009,1.46
Bangladesh,BGD,2010,1.49
Barbados,BRB,2000,20.67
Barbados,BRB,2001,17.54
Barbados,BRB,2002,17.41
Barbados,BRB,2003,16.78
Barbados,BRB,2004,17.01
Barbados,BRB,2005,20.38
Barbados,BRB,2006,21.22
Barbados,BRB,2007,16.32
Barbados,BRB,2008,17.85
Barbados,BRB,2009,16.8
Barbados,BRB,2010,13
Belarus,BLR,2000,0.06
Belarus,BLR,2001,0.03
Belarus,BLR,2002,0.04
Belarus,BLR,2003,0.04
Belarus,BLR,2004,0.05
Belarus,BLR,2005,0.04
Belarus,BLR,2006,0.06
Belarus,BLR,2007,0.07
Belarus,BLR,2008,0.05
Belarus,BLR,2009,0.05
Belarus,BLR,2010,0.05
Belgium,BEL,2000,20.16
Belgium,BEL,2001,18.86
Belgium,BEL,2002,19.15
Belgium,BEL,2003,19.62
Belgium,BEL,2004,20.25
Belgium,BEL,2005,20.72
Belgium,BEL,2006,20.62
Belgium,BEL,2007,21.4
Belgium,BEL,2008,21.73
Belgium,BEL,2009,20.54
Belgium,BEL,2010,19.27
Belize,BLZ,2000,10.26
Belize,BLZ,2001,10.58
Belize,BLZ,2002,10.13
Belize,BLZ,2003,10.78
Belize,BLZ,2004,10.53
Belize,BLZ,2005,10.2
Belize,BLZ,2006,10.65
Belize,BLZ,2007,11.49
Belize,BLZ,2008,9.51
Belize,BLZ,2009,9.56
Belize,BLZ,2010,9.1
Benin,BEN,2000,2.31
Benin,BEN,2001,2.05
Benin,BEN,2002,1.89
Benin,BEN,2003,2.04
Benin,BEN,2004,1.98
Benin,BEN,2005,2.43
Benin,BEN,2006,3.43
Benin,BEN,2007,3.74
Benin,BEN,2008,3.62
Benin,BEN,2009,3.81
Benin,BEN,2010,3.57
Bhutan,BTN,2000,5.73
Bhutan,BTN,2001,6.61
Bhutan,BTN,2002,7.08
Bhutan,BTN,2003,7.52
Bhutan,BTN,2004,7.97
Bhutan,BTN,2005,7.59
Bhutan,BTN,2006,7.79
Bhutan,BTN,2007,8.99
Bhutan,BTN,2008,7.69
Bhutan,BTN,2009,8.46
Bhutan,BTN,2010,9.69
Bolivia,BOL,2000,4.45
Bolivia,BOL,2001,4.16
Bolivia,BOL,2002,4.38
Bolivia,BOL,2003,4.28
Bolivia,BOL,2004,3.98
Bolivia,BOL,2005,4.03
Bolivia,BOL,2006,4.12
Bolivia,BOL,2007,4.28
Bolivia,BOL,2008,4.46
Bolivia,BOL,2009,4.9
Bolivia,BOL,2010,4.56
Bosnia and Herzegovina,BIH,2000,5.41
Bosnia and Herzegovina,BIH,2001,6.64
Bosnia and Herzegovina,BIH,2002,7.62
Bosnia and Herzegovina,BIH,2003,7.28
Bosnia and Herzegovina,BIH,2004,7.67
Bosnia and Herzegovina,BIH,2005,7.57
Bosnia and Herzegovina,BIH,2006,8.15
Bosnia and Herzegovina,BIH,2007,8.11
Bosnia and Herzegovina,BIH,2008,8.48
Bosnia and Herzegovina,BIH,2009,8.22
Bosnia and Herzegovina,BIH,2010,7.52
Botswana,BWA,2000,14.02
Botswana,BWA,2001,13.4
Botswana,BWA,2002,13.41
Botswana,BWA,2003,14.81
Botswana,BWA,2004,14.92
Botswana,BWA,2005,15.19
Botswana,BWA,2006,14.44
Botswana,BWA,2007,14.72
Botswana,BWA,2008,15.18
Botswana,BWA,2009,15.99
Botswana,BWA,2010,17.43
Brazil,BRA,2000,8.82
Brazil,BRA,2001,8.52
Brazil,BRA,2002,8.38
Brazil,BRA,2003,8.27
Brazil,BRA,2004,8.37
Brazil,BRA,2005,9.1
Brazil,BRA,2006,9.63
Brazil,BRA,2007,10.47
Brazil,BRA,2008,11.39
Brazil,BRA,2009,11.87
Brazil,BRA,2010,12.98
Brunei,BRN,2000,18.55
Brunei,BRN,2001,15.02
Brunei,BRN,2002,13.98
Brunei,BRN,2003,13.8
Brunei,BRN,2004,14.29
Brunei,BRN,2005,14.12
Brunei,BRN,2006,14.24
Brunei,BRN,2007,16.78
Brunei,BRN,2008,15.32
Brunei,BRN,2009,19.86
Brunei,BRN,2010,16.49
Bulgaria,BGR,2000,4.22
Bulgaria,BGR,2001,5.08
Bulgaria,BGR,2002,5.42
Bulgaria,BGR,2003,6.58
Bulgaria,BGR,2004,8.22
Bulgaria,BGR,2005,9.16
Bulgaria,BGR,2006,10.6
Bulgaria,BGR,2007,11.66
Bulgaria,BGR,2008,12.38
Bulgaria,BGR,2009,11.19
Bulgaria,BGR,2010,10.37
Burkina Faso,BFA,2000,1.78
Burkina Faso,BFA,2001,1.95
Burkina Faso,BFA,2002,1.88
Burkina Faso,BFA,2003,2.22
Burkina Faso,BFA,2004,2.29
Burkina Faso,BFA,2005,2.52
Burkina Faso,BFA,2006,2.68
Burkina Faso,BFA,2007,2.69
Burkina Faso,BFA,2008,2.8
Burkina Faso,BFA,2009,2.87
Burkina Faso,BFA,2010,3.08
Burundi,BDI,2000,1.5
Burundi,BDI,2001,1.74
Burundi,BDI,2002,1.77
Burundi,BDI,2003,1.81
Burundi,BDI,2004,1.81
Burundi,BDI,2005,1.86
Burundi,BDI,2006,1.85
Burundi,BDI,2007,1.76
Burundi,BDI,2008,1.6
Burundi,BDI,2009,1.76
Burundi,BDI,2010,1.67
Cambodia,KHM,2000,1.55
Cambodia,KHM,2001,1.35
Cambodia,KHM,2002,1.3
Cambodia,KHM,2003,1.43
Cambodia,KHM,2004,1.39
Cambodia,KHM,2005,1.55
Cambodia,KHM,2006,1.69
Cambodia,KHM,2007,1.84
Cambodia,KHM,2008,1.93
Cambodia,KHM,2009,2.46
Cambodia,KHM,2010,3.66
Cameroon,CMR,2000,1.6
Cameroon,CMR,2001,1.64
Cameroon,CMR,2002,1.61
Cameroon,CMR,2003,1.63
Cameroon,CMR,2004,1.68
Cameroon,CMR,2005,1.69
Cameroon,CMR,2006,1.6
Cameroon,CMR,2007,1.62
Cameroon,CMR,2008,1.61
Cameroon,CMR,2009,1.9
Cameroon,CMR,2010,1.83
Canada,CAN,2000,26.91
Canada,CAN,2001,25.75
Canada,CAN,2002,25.64
Canada,CAN,2003,27.29
Canada,CAN,2004,27.26
Canada,CAN,2005,28
Canada,CAN,2006,28.64
Canada,CAN,2007,28.65
Canada,CAN,2008,28.02
Canada,CAN,2009,27.67
Canada,CAN,2010,28.37
Cape Verde,CPV,2000,4.53
Cape Verde,CPV,2001,3.98
Cape Verde,CPV,2002,4.46
Cape Verde,CPV,2003,4.51
Cape Verde,CPV,2004,4.84
Cape Verde,CPV,2005,5
Cape Verde,CPV,2006,5.83
Cape Verde,CPV,2007,7
Cape Verde,CPV,2008,5.8
Cape Verde,CPV,2009,6.2
Cape Verde,CPV,2010,5.88
Caribbean,,2000,6.18
Caribbean,,2001,6.08
Caribbean,,2002,6.09
Caribbean,,2003,5.56
Caribbean,,2004,5.46
Caribbean,,2005,5.44
Caribbean,,2006,5.69
Caribbean,,2007,5.88
Caribbean,,2008,5.8
Caribbean,,2009,5.1
Caribbean,,2010,5.09
Central African Republic,CAF,2000,1.84
Central African Republic,CAF,2001,1.94
Central African Republic,CAF,2002,2.01
Central African Republic,CAF,2003,1.98
Central African Republic,CAF,2004,2.2
Central African Republic,CAF,2005,2.29
Central African Republic,CAF,2006,2.29
Central African Republic,CAF,2007,2.47
Central African Republic,CAF,2008,2.5
Central African Republic,CAF,2009,2.7
Central African Republic,CAF,2010,2.59
Central America,,2000,7.68
Central America,,2001,7.64
Central America,,2002,7.55
Central America,,2003,7.82
Central America,,2004,7.67
Central America,,2005,7.8
Central America,,2006,7.89
Central America,,2007,7.83
Central America,,2008,7.6
Central America,,2009,7.22
Central America,,2010,7.34
Central Asia,,2000,6.87
Central Asia,,2001,7.42
Central Asia,,2002,7.4
Central Asia,,2003,7.84
Central Asia,,2004,8.17
Central Asia,,2005,8.31
Central Asia,,2006,8.97
Central Asia,,2007,9.8
Central Asia,,2008,9.15
Central Asia,,2009,9.85
Central Asia,,2010,9.52
Central and Southern Asia,,2000,2.77
Central and Southern Asia,,2001,2.87
Central and Southern Asia,,2002,2.85
Central and Southern Asia,,2003,2.95
Central and Southern Asia,,2004,3.06
Central and Southern Asia,,2005,3.22
Central and Southern Asia,,2006,3.39
Central and Southern Asia,,2007,3.69
Central and Southern Asia,,2008,3.65
Central and Southern Asia,,2009,3.83
Central and Southern Asia,,2010,3.88
Chad,TCD,2000,1.56
Chad,TCD,2001,1.73
Chad,TCD,2002,1.78
Chad,TCD,2003,1.79
Chad,TCD,2004,1.53
Chad,TCD,2005,1.51
Chad,TCD,2006,1.54
Chad,TCD,2007,1.66
Chad,TCD,2008,1.67
Chad,TCD,2009,1.92
Chad,TCD,2010,1.88
Chile,CHL,2000,16.49
Chile,CHL,2001,17.48
Chile,CHL,2002,17.55
Chile,CHL,2003,17.75
Chile,CHL,2004,16.52
Chile,CHL,2005,17.19
Chile,CHL,2006,16.46
Chile,CHL,2007,15.86
Chile,CHL,2008,16.07
Chile,CHL,2009,16.23
Chile,CHL,2010,17.4
China,CHN,2000,5.81
China,CHN,2001,6.44
China,CHN,2002,6.71
China,CHN,2003,7.61
China,CHN,2004,8.29
China,CHN,2005,8.63
China,CHN,2006,9.72
China,CHN,2007,10.59
China,CHN,2008,11.45
China,CHN,2009,13.62
China,CHN,2010,14.76
Colombia,COL,2000,6.4
Colombia,COL,2001,5.62
Colombia,COL,2002,5.56
Colombia,COL,2003,6.28
Colombia,COL,2004,6.63
Colombia,COL,2005,7.13
Colombia,COL,2006,7.59
Colombia,COL,2007,7.97
Colombia,COL,2008,8.14
Colombia,COL,2009,8.15
Colombia,COL,2010,7.87
Congo,COG,2000,1.75
Congo,COG,2001,1.82
Congo,COG,2002,2.03
Congo,COG,2003,2.13
Congo,COG,2004,2.22
Congo,COG,2005,2.21
Congo,COG,2006,2.27
Congo,COG,2007,2.59
Congo,COG,2008,2.62
Congo,COG,2009,2.79
Congo,COG,2010,2.68
Costa Rica,CRI,2000,6.75
Costa Rica,CRI,2001,6.35
Costa Rica,CRI,2002,6.23
Costa Rica,CRI,2003,5.89
Costa Rica,CRI,2004,5.98
Costa Rica,CRI,2005,6.4
Costa Rica,CRI,2006,6.43
Costa Rica,CRI,2007,6.9
Costa Rica,CRI,2008,6.98
Costa Rica,CRI,2009,5.78
Costa Rica,CRI,2010,5.8
Cote d'Ivoire,CIV,2000,1.32
Cote d'Ivoire,CIV,2001,1.23
Cote d'Ivoire,CIV,2002,1.22
Cote d'Ivoire,CIV,2003,1.27
Cote d'Ivoire,CIV,2004,1.17
Cote d'Ivoire,CIV,2005,1.17
Cote d'Ivoire,CIV,2006,1.12
Cote d'Ivoire,CIV,2007,1.09
Cote d'Ivoire,CIV,2008,1.03
Cote d'Ivoire,CIV,2009,1.04
Cote d'Ivoire,CIV,2010,1.01
Croatia,HRV,2000,10.29
Croatia,HRV,2001,11.67
Croatia,HRV,2002,12.77
Croatia,HRV,2003,13.75
Croatia,HRV,2004,15.13
Croatia,HRV,2005,15.26
Croatia,HRV,2006,16.09
Croatia,HRV,2007,16.19
Croatia,HRV,2008,17.34
Croatia,HRV,2009,15.2
Croatia,HRV,2010,12.97
Cuba,CUB,2000,8.47
Cuba,CUB,2001,8.48
Cuba,CUB,2002,8.52
Cuba,CUB,2003,7.68
Cuba,CUB,2004,7.6
Cuba,CUB,2005,6.76
Cuba,CUB,2006,7
Cuba,CUB,2007,7.71
Cuba,CUB,2008,7.86
Cuba,CUB,2009,7.34
Cuba,CUB,2010,7.21
Cyprus,CYP,2000,25.63
Cyprus,CYP,2001,24.01
Cyprus,CYP,2002,25.37
Cyprus,CYP,2003,24.37
Cyprus,CYP,2004,24.79
Cyprus,CYP,2005,25.1
Cyprus,CYP,2006,24.89
Cyprus,CYP,2007,27.2
Cyprus,CYP,2008,27.86
Cyprus,CYP,2009,23.59
Cyprus,CYP,2010,24.1
Czech Republic,CZE,2000,16.89
Czech Republic,CZE,2001,17.62
Czech Republic,CZE,2002,18.96
Czech Republic,CZE,2003,19.47
Czech Republic,CZE,2004,20.28
Czech Republic,CZE,2005,20.82
Czech Republic,CZE,2006,20.63
Czech Republic,CZE,2007,21.74
Czech Republic,CZE,2008,22.46
Czech Republic,CZE,2009,21.84
Czech Republic,CZE,2010,21.15
Democratic Republic of Congo,COD,2000,1.77
Democratic Republic of Congo,COD,2001,1.73
Democratic Republic of Congo,COD,2002,1.66
Democratic Republic of Congo,COD,2003,1.67
Democratic Republic of Congo,COD,2004,1.71
Democratic Republic of Congo,COD,2005,1.74
Democratic Republic of Congo,COD,2006,1.72
Democratic Republic of Congo,COD,2007,1.7
Democratic Republic of Congo,COD,2008,1.73
Democratic Republic of Congo,COD,2009,1.83
Democratic Republic of Congo,COD,2010,1.81
Denmark,DNK,2000,22.84
Denmark,DNK,2001,21.76
Denmark,DNK,2002,22.67
Denmark,DNK,2003,22.94
Denmark,DNK,2004,23.91
Denmark,DNK,2005,24.94
Denmark,DNK,2006,26.12
Denmark,DNK,2007,28.15
Denmark,DNK,2008,27.02
Denmark,DNK,2009,25.27
Denmark,DNK,2010,23.87
Djibouti,DJI,2000,3.41
Djibouti,DJI,2001,3.06
Djibouti,DJI,2002,3.27
Djibouti,DJI,2003,3.34
Djibouti,DJI,2004,3.22
Djibouti,DJI,2005,3.4
Djibouti,DJI,2006,3.73
Djibouti,DJI,2007,3.91
Djibouti,DJI,2008,3.22
Djibouti,DJI,2009,3.3
Djibouti,DJI,2010,3.26
Dominican Republic,DOM,2000,5.41
Dominican Republic,DOM,2001,5.31
Dominican Republic,DOM,2002,5.27
Dominican Republic,DOM,2003,4.43
Dominican Republic,DOM,2004,4.18
Dominican Republic,DOM,2005,4.68
Dominican Republic,DOM,2006,4.94
Dominican Republic,DOM,2007,5.12
Dominican Republic,DOM,2008,4.98
Dominican Republic,DOM,2009,4.11
Dominican Republic,DOM,2010,4.42
Eastern Africa,,2000,1.39
Eastern Africa,,2001,1.39
Eastern Africa,,2002,1.4
Eastern Africa,,2003,1.43
Eastern Africa,,2004,1.44
Eastern Africa,,2005,1.5
Eastern Africa,,2006,1.53
Eastern Africa,,2007,1.51
Eastern Africa,,2008,1.46
Eastern Africa,,2009,1.55
Eastern Africa,,2010,1.55
Eastern Asia,,2000,8.26
Eastern Asia,,2001,8.67
Eastern Asia,,2002,8.8
Eastern Asia,,2003,9.67
Eastern Asia,,2004,10.38
Eastern Asia,,2005,10.67
Eastern Asia,,2006,11.64
Eastern Asia,,2007,12.31
Eastern Asia,,2008,13.03
Eastern Asia,,2009,14.16
Eastern Asia,,2010,15.71
Eastern Europe,,2000,6.92
Eastern Europe,,2001,7.65
Eastern Europe,,2002,7.78
Eastern Europe,,2003,8.18
Eastern Europe,,2004,8.98
Eastern Europe,,2005,9.52
Eastern Europe,,2006,10.04
Eastern Europe,,2007,11.34
Eastern Europe,,2008,11.2
Eastern Europe,,2009,10.08
Eastern Europe,,2010,10.19
Eastern and South-Eastern Asia,,2000,7.24
Eastern and South-Eastern Asia,,2001,7.47
Eastern and South-Eastern Asia,,2002,7.64
Eastern and South-Eastern Asia,,2003,8.37
Eastern and South-Eastern Asia,,2004,8.92
Eastern and South-Eastern Asia,,2005,9.2
Eastern and South-Eastern Asia,,2006,9.96
Eastern and South-Eastern Asia,,2007,10.47
Eastern and South-Eastern Asia,,2008,11.04
Eastern and South-Eastern Asia,,2009,11.91
Eastern and South-Eastern Asia,,2010,13.14
Ecuador,ECU,2000,6.4
Ecuador,ECU,2001,7.03
Ecuador,ECU,2002,7.22
Ecuador,ECU,2003,7.24
Ecuador,ECU,2004,7.6
Ecuador,ECU,2005,7.69
Ecuador,ECU,2006,7.85
Ecuador,ECU,2007,8.11
Ecuador,ECU,2008,8.92
Ecuador,ECU,2009,9.21
Ecuador,ECU,2010,8.91
Egypt,EGY,2000,5.17
Egypt,EGY,2001,5.08
Egypt,EGY,2002,5.02
Egypt,EGY,2003,4.14
Egypt,EGY,2004,4.18
Egypt,EGY,2005,4.89
Egypt,EGY,2006,5.24
Egypt,EGY,2007,5.66
Egypt,EGY,2008,5.91
Egypt,EGY,2009,6.49
Egypt,EGY,2010,6.21
El Salvador,SLV,2000,5.28
El Salvador,SLV,2001,5.06
El Salvador,SLV,2002,5.02
El Salvador,SLV,2003,5.09
El Salvador,SLV,2004,4.82
El Salvador,SLV,2005,4.82
El Salvador,SLV,2006,5.06
El Salvador,SLV,2007,5.23
El Salvador,SLV,2008,5.11
El Salvador,SLV,2009,5.04
El Salvador,SLV,2010,5.04
Eritrea,ERI,2000,1.16
Eritrea,ERI,2001,1.26
Eritrea,ERI,2002,1
Eritrea,ERI,2003,0.97
Eritrea,ERI,2004,0.91
Eritrea,ERI,2005,1.02
Eritrea,ERI,2006,0.96
Eritrea,ERI,2007,0.99
Eritrea,ERI,2008,0.64
Eritrea,ERI,2009,0.58
Eritrea,ERI,2010,0.57
Estonia,EST,2000,12.47
Estonia,EST,2001,12.45
Estonia,EST,2002,14.07
Estonia,EST,2003,17.6
Estonia,EST,2004,18.21
Estonia,EST,2005,19.63
Estonia,EST,2006,21.21
Estonia,EST,2007,24.68
Estonia,EST,2008,22.55
Estonia,EST,2009,19.81
Estonia,EST,2010,18.61
Ethiopia,ETH,2000,0.01
Ethiopia,ETH,2001,0.02
Ethiopia,ETH,2002,0.02
Ethiopia,ETH,2003,0.02
Ethiopia,ETH,2004,0.02
Ethiopia,ETH,2005,0.02
Ethiopia,ETH,2006,0.03
Ethiopia,ETH,2007,0.03
Ethiopia,ETH,2008,0.03
Ethiopia,ETH,2009,0.03
Ethiopia,ETH,2010,0.03
Europe and Northern America,,2000,20.23
Europe and Northern America,,2001,20.35
Europe and Northern America,,2002,20.67
Europe and Northern America,,2003,21.06
Europe and Northern America,,2004,21.99
Europe and Northern America,,2005,22.84
Europe and Northern America,,2006,23.07
Europe and Northern America,,2007,23.6
Europe and Northern America,,2008,22.56
Europe and Northern America,,2009,20.2
Europe and Northern America,,2010,20.13
Fiji,FJI,2000,5.3
Fiji,FJI,2001,5.26
Fiji,FJI,2002,5.19
Fiji,FJI,2003,6.07
Fiji,FJI,2004,7.14
Fiji,FJI,2005,7.05
Fiji,FJI,2006,7.75
Fiji,FJI,2007,7.3
Fiji,FJI,2008,6.33
Fiji,FJI,2009,5.74
Fiji,FJI,2010,5.69
Finland,FIN,2000,36.77
Finland,FIN,2001,35.99
Finland,FIN,2002,36.75
Finland,FIN,2003,38.58
Finland,FIN,2004,39.35
Finland,FIN,2005,39.06
Finland,FIN,2006,39.2
Finland,FIN,2007,40.84
Finland,FIN,2008,38.59
Finland,FIN,2009,35.76
Finland,FIN,2010,34.43
France,FRA,2000,21.94
France,FRA,2001,21.16
France,FRA,2002,21.65
France,FRA,2003,22.03
France,FRA,2004,22.6
France,FRA,2005,22.78
France,FRA,2006,22.49
France,FRA,2007,23
France,FRA,2008,22.73
France,FRA,2009,22.02
France,FRA,2010,20.59
Gabon,GAB,2000,4.92
